IS_Kabkota,,,,,,,,,,
,Is_Indeks Pembangunan Manusia (IPM) Menurut Kabupaten/Kota di Provinsi DKI Jakarta,,,,,,,,,
,Angka Harapan Hidup,,Harapan Lama Sekolah,,Rata-Rata Lama Sekolah,,Pengeluaran Perkapita,,Indeks,
,2022,2023,2022,2023,2022,2023,2022,2023,2022,2023
DKI Jakarta,73.32,75.81,13.08,13.33,11.31,11.45,18927,19373,81.65,83.55
Kepulauan Seribu,69.2,74.89,12.65,12.66,9.02,9.03,12999,13523,72.79,75.91
Jakarta Selatan,74.49,76.02,13.35,13.66,11.66,11.75,24221,24975,85.21,86.71
Jakarta Timur,74.83,75.37,13.97,14.06,11.73,11.88,18199,18712,83.45,84.26
Jakarta Pusat,74.48,76.34,13.28,13.29,11.53,11.54,17765,18202,82.11,83.29
Jakarta Barat,73.81,75.81,12.82,12.87,11.13,11.23,21357,21709,82.51,83.85
Jakarta Utara,73.47,75.07,12.66,12.67,10.82,10.84,19201,19617,80.81,81.85
