Jenis kelamin,Laki-laki,Laki-laki,Perempuan,Perempuan,Jumlah Laki Laki,Jumlah Perempuan
Tahun,2021,2022,2021,2022,2021,2022
0-4,409299,409361,389749,388746,799048,798107
5-9,409708,403671,391131,384802,800839,788473
10-14,416558,407784,396706,389405,813264,797189
15-19,425852,421727,408996,409108,834848,830835
20-24,432874,434095,421508,428395,854382,862490
25-29,435503,432458,423712,422522,859215,854980
30-34,445591,431768,437712,424379,883303,856147
35-39,440327,435443,433312,429914,873639,865357
40-44,431464,424465,425462,422649,856926,847114
45-49,396281,401285,391664,400759,787945,802044
50-54,342251,353772,338140,351290,680391,705062
55-59,280483,294139,280101,293707,560584,587846
60-64,208315,225304,213962,230377,422277,455681
65+,288242,325748,329873,371157,618115,696905
