Umur,Tahun,Kep Seribu,Jakarta Selatan,Jakarta Timur,Jakarta Pusat,Jakarta Barat,Jakarta Utara,DKI Jakarta
0-4,2023,2736,148917,223688,65357,177478,136561,754737
5-9,2023,2565,159195,234365,71568,184543,141672,793908
10-14,2023,2324,164800,236113,74163,188331,140507,806238
15-19,2023,2381,171467,241086,79049,189332,138687,822002
20-24,2023,2642,175884,243352,83265,189563,138863,833569
25-29,2023,2491,175765,243200,82275,191611,141993,837335
30-34,2023,2328,174088,245030,82584,200745,148164,852939
35-39,2023,2199,175155,246610,82824,208376,151862,867026
40-44,2023,1976,176447,241768,79924,202432,147368,849915
45-49,2023,1790,176215,231322,78251,186830,135711,810119
50-54,2023,1581,158423,203846,73410,159684,113414,710358
55-59,2023,1312,131307,169169,64676,132196,92188,590848
60-64,2023,971,100061,130976,51283,103077,72175,458543
65-69,2023,611,69421,93144,36906,73516,52782,326380
70-74,2023,339,41752,55257,22990,44941,31813,197092
75+,2023,277,36709,40692,20789,37399,25225,161091
